n(#_of_runs),m(#_of_Steps),d(AvgDist)
200,10,2.69641715011471
200,20,3.7879456824599216
200,50,6.604770784961126
200,100,9.647405803030367
200,200,12.161283063407705
200,500,19.323104523776212
200,1000,29.66376584248453
200,2000,38.41877983106704
200,5000,63.26969137498749
