n(#_of_runs),m(#_of_Steps),d(AvgDist)
200,10,2.6627095509896037
200,20,4.057184092480807
200,50,6.108135384629617
200,100,8.647334364691288
200,200,12.443168404252399
200,500,19.797651083674236
200,1000,30.037133457893233
200,2000,41.29333148744895
200,5000,61.49994183423968
