0.005,95.6
0.01,90.3
0.015,90.9
0.02,97.1
0.025,90.1
0.03,104.7
0.035,89.9
0.04,90.1
0.045,92.1
0.05,90.0
0.055,90.1
0.06,89.8
0.065,90.0
0.07,89.9
0.075,90.0
0.08,89.8
0.085,90.2
0.09,89.4
0.095,89.6
0.1,89.8
0.105,110.8
0.11,93.2
0.115,93.8
0.12,100.5
0.125,89.9
0.13,92.5
0.135,92.0
0.14,96.2
0.145,97.0
0.15,105.2
0.155,149.9
0.16,105.4
0.165,92.0
0.17,91.6
0.175,97.5
0.18,92.4
0.185,92.0
0.19,90.1
0.195,93.5
0.2,90.9
0.205,90.2
0.21,90.6
0.215,91.9
0.22,90.8
0.225,101.2
0.23,178.9
0.235,131.7
0.24,129.9
0.245,95.9
0.25,91.8
